customer_id,loyalty_score,product_id,price,date_of_purchase,product_description,product_category,purchase_count
C1,7,P62,1488.0,2018-12-02 19:06:00,gin,bws,26
C1,7,P61,434.0,2018-12-02 19:06:00,red wine,bws,26
C1,7,P63,224.0,2018-12-02 19:06:00,cognac,bws,26
C1,7,P43,1816.0,2018-12-03 17:21:00,mince beef,food,26
C1,7,P63,99.0,2018-12-17 17:00:00,cognac,bws,26
C1,7,P64,715.0,2018-12-26 09:01:00,cigarettes,bws,26
C1,7,P64,424.0,2018-12-26 09:01:00,cigarettes,bws,26
C1,7,P07,1374.0,2019-01-13 17:57:00,cling film,house,26
C1,7,P08,1047.0,2019-01-13 17:57:00,aluminium foil,house,26
C1,7,P06,1327.0,2019-01-13 17:57:00,fabric softener,house,26
C1,7,P42,1871.0,2019-01-23 17:18:00,chicken,food,26
C1,7,P55,1661.0,2019-01-23 17:18:00,lentil soup,food,26
C1,7,P56,1522.0,2019-01-23 17:18:00,greek yoghurt,food,26
C1,7,P63,407.0,2019-01-31 04:21:00,cognac,bws,26
C1,7,P61,1176.0,2019-01-31 04:21:00,red wine,bws,26
C1,7,P64,1757.0,2019-01-31 04:21:00,cigarettes,bws,26
C1,7,P61,1317.0,2019-02-02 04:24:00,red wine,bws,26
C1,7,P61,447.0,2019-02-02 04:24:00,red wine,bws,26
C1,7,P62,487.0,2019-02-02 04:24:00,gin,bws,26
C1,7,P61,1970.0,2019-02-05 22:57:00,red wine,bws,26
C1,7,P44,1542.0,2019-02-14 20:21:00,milk,food,26
C1,7,P63,1972.0,2019-02-23 11:00:00,cognac,bws,26
C1,7,P64,227.0,2019-02-23 11:00:00,cigarettes,bws,26
C1,7,P61,574.0,2019-02-23 11:00:00,red wine,bws,26
C1,7,P06,579.0,2019-02-27 15:25:00,fabric softener,house,26
C1,7,P05,1710.0,2019-02-27 15:25:00,scented candles,house,26
C2,4,P47,1923.0,2018-12-02 12:04:00,whole chicken,food,42
C2,4,P56,257.0,2018-12-02 12:04:00,greek yoghurt,food,42
C2,4,P55,1218.0,2018-12-02 12:04:00,lentil soup,food,42
C2,4,P58,1399.0,2018-12-09 09:23:00,coconut water,food,42
C2,4,P54,1687.0,2018-12-09 09:23:00,almond milk,food,42
C2,4,P47,1193.0,2018-12-09 09:23:00,whole chicken,food,42
C2,4,P56,1829.0,2018-12-13 11:56:00,greek yoghurt,food,42
C2,4,P60,939.0,2018-12-13 11:56:00,water,food,42
C2,4,P54,955.0,2018-12-13 11:56:00,almond milk,food,42
C2,4,P61,489.0,2018-12-14 04:39:00,red wine,bws,42
C2,4,P64,113.0,2018-12-14 04:39:00,cigarettes,bws,42
C2,4,P62,1561.0,2018-12-14 04:39:00,gin,bws,42
C2,4,P44,576.0,2018-12-20 07:44:00,milk,food,42
C2,4,P54,626.0,2018-12-20 07:44:00,almond milk,food,42
C2,4,P30,471.0,2018-12-29 09:37:00,mango,fruit_veg,42
C2,4,P36,1836.0,2019-01-04 08:42:00,salted caramel dark chocolate,sweets,42
C2,4,P37,1413.0,2019-01-04 08:42:00,gummy bears,sweets,42
C2,4,P37,409.0,2019-01-04 08:42:00,gummy bears,sweets,42
C2,4,P46,17.0,2019-01-05 03:59:00,activated charcoal croissant,food,42
C2,4,P51,588.0,2019-01-05 03:59:00,pizza,food,42
C2,4,P28,1483.0,2019-01-08 12:15:00,grapes,fruit_veg,42
C2,4,P30,152.0,2019-01-08 12:15:00,mango,fruit_veg,42
C2,4,P50,710.0,2019-01-23 15:29:00,camembert,food,42
C2,4,P49,13.0,2019-01-23 15:29:00,smoked salmon,food,42
C2,4,P58,770.0,2019-01-23 15:29:00,coconut water,food,42
C2,4,P55,1703.0,2019-01-26 11:56:00,lentil soup,food,42
C2,4,P55,503.0,2019-01-26 11:56:00,lentil soup,food,42
C2,4,P54,8.0,2019-01-26 11:56:00,almond milk,food,42
C2,4,P29,1174.0,2019-01-28 13:49:00,easy peeler,fruit_veg,42
